item_no,url,dispozice,cena,metry,cena_na_metr,realitka,ulice,ctvrt,podctvrt
SREALITY3426610268,https://www.sreality.cz/detail/prodej/byt/atypická/praha-nove-mesto-dlazdena/3426610268#img=0&fullscreen=false,atypická,18184000,N/A,N/A,"PSN, s.r.o.",Dlážděná,Praha 1,Nové Město
SREALITY1953995868,https://www.sreality.cz/detail/prodej/byt/atypická/praha-vinohrady-korunni/1953995868#img=0&fullscreen=false,atypická,1,N/A,N/A,N/A,Korunní,Praha 10,Vinohrady
SREALITY261472092,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-malesice-malesicka/261472092#img=0&fullscreen=false,3+kk,9804086,84,116715,N/A,Malešická,Praha 10,Malešice
SREALITY272694876,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-michle-u-plynarny/272694876#img=0&fullscreen=false,2+kk,5443617,57,95502,N/A,U Plynárny,Praha 4,Michle
SREALITY625016412,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-michle-u-plynarny/625016412#img=0&fullscreen=false,1+kk,3884706,37,104992,N/A,U Plynárny,Praha 4,Michle
SREALITY1413230172,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-podbelohorska/1413230172#img=0&fullscreen=false,4+kk,17901007,113,158415,N/A,Podbělohorská,Praha 5,Smíchov
SREALITY1655282780,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-podbelohorska/1655282780#img=0&fullscreen=false,3+kk,12161012,86,141407,N/A,Podbělohorská,Praha 5,Smíchov
SREALITY2229022300,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-podbelohorska/2229022300#img=0&fullscreen=false,2+kk,8046090,54,149001,N/A,Podbělohorská,Praha 5,Smíchov
SREALITY3436200284,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-malesice-malesicka/3436200284#img=0&fullscreen=false,3+kk,9055122,77,117598,N/A,Malešická,Praha 10,Malešice
SREALITY4256235100,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-michle-u-plynarny/4256235100#img=0&fullscreen=false,1+kk,3825579,37,103394,N/A,U Plynárny,Praha 4,Michle
SREALITY2599390812,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-modrany-vorarska/2599390812#img=0&fullscreen=false,3+kk,8911000,94,94797,"Sekyra Group, a.s.",Vorařská,Praha 4,Modřany
SREALITY1943264860,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-tyrsova/1943264860#img=0&fullscreen=false,2+kk,9685929,85,113952,GARTAL,Tyršova,Praha 2,Nové Město
SREALITY2030124124,https://www.sreality.cz/detail/prodej/byt/atypická/praha-nove-mesto-legerova/2030124124#img=0&fullscreen=false,atypická,9595250,N/A,N/A,GARTAL,Legerova,Praha 2,Nové Město
SREALITY2882468956,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kyje-herdovska/2882468956#img=0&fullscreen=false,3+kk,10980200,101,108714,GARTAL,Herdovská,Praha 9,Kyje
SREALITY3821460572,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liben-kovarska/3821460572#img=0&fullscreen=false,2+kk,5645250,48,117609,GARTAL,Kovářská,Praha 9,Libeň
SREALITY571997788,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hloubetin-konzumni/571997788#img=0&fullscreen=false,2+kk,5431018,55,98745,GARTAL,Konzumní,Praha 9,Hloubětín
SREALITY1651493980,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zabehlice-choceradska/1651493980#img=0&fullscreen=false,1+kk,3947724,37,106695,GARTAL,Choceradská,Praha 4,Záběhlice
SREALITY2740415580,https://www.sreality.cz/detail/prodej/byt/1+1/praha-branik-mezivrsi/2740415580#img=0&fullscreen=false,1+1,4500000,73,61643,"REDOT, s.r.o.",Mezivrší,Praha 4,Braník
SREALITY1272594268,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-karlin-rohanske-nabrezi/1272594268#img=0&fullscreen=false,1+kk,6394000,46,139000,"Sekyra Group, a.s.",Rohanské nábřeží,Praha,Karlín
SREALITY1811962972,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-strasnice-za-postou/1811962972#img=0&fullscreen=false,4+kk,9670000,92,105108,Duna House,Za poštou,Praha 10,Strašnice
SREALITY3651448412,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hodkovicky-sifarska/3651448412#img=0&fullscreen=false,4+kk,18887000,270,69951,"REAL DEVELOPMENT 2001, a.s.",Šífařská,Praha 4,Hodkovičky
SREALITY2007055964,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nusle-nuselska/2007055964#img=0&fullscreen=false,3+kk,9801522,81,121006,N/A,Nuselská,Praha 4,Nusle
SREALITY450117212,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nusle-nuselska/450117212#img=0&fullscreen=false,4+kk,11966717,108,110802,N/A,Nuselská,Praha 4,Nusle
SREALITY2762227292,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nusle-/2762227292#img=0&fullscreen=false,4+kk,10997037,111,99072,N/A,,Praha 4,Nusle
SREALITY2853076828,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-praha-4-branicka/2853076828#img=0&fullscreen=false,4+kk,12188938,116,105077,N/A,Branická,Praha 4,
SREALITY3008958300,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nusle-nuselska/3008958300#img=0&fullscreen=false,3+kk,9303501,81,114858,N/A,Nuselská,Praha 4,Nusle
SREALITY1576095580,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nusle-nuselska/1576095580#img=0&fullscreen=false,1+kk,4044554,34,118957,N/A,Nuselská,Praha 4,Nusle
SREALITY2856008796,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nusle-nuselska/2856008796#img=0&fullscreen=false,4+kk,12122255,118,102730,N/A,Nuselská,Praha 4,Nusle
SREALITY581647452,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nusle-nuselska/581647452#img=0&fullscreen=false,3+kk,9990634,91,109787,N/A,Nuselská,Praha 4,Nusle
SREALITY2499230812,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-kurandove/2499230812#img=0&fullscreen=false,3+kk,6890000,66,104393,Svoboda & Williams,Kurandové,Praha 5,Hlubočepy
SREALITY3017227356,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-kurandove/3017227356#img=0&fullscreen=false,3+kk,6900000,66,104545,Svoboda & Williams,Kurandové,Praha 5,Hlubočepy
SREALITY3769044060,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hlubocepy-kurandove/3769044060#img=0&fullscreen=false,4+kk,9890000,92,107500,Svoboda & Williams,Kurandové,Praha 5,Hlubočepy
SREALITY996027996,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-michle-u-plynarny/996027996#img=0&fullscreen=false,1+kk,4067080,37,109921,N/A,U Plynárny,Praha 4,Michle
SREALITY2926456412,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-michle-u-plynarny/2926456412#img=0&fullscreen=false,2+kk,5404389,54,100081,N/A,U Plynárny,Praha 4,Michle
SREALITY1247686236,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-michle-u-plynarny/1247686236#img=0&fullscreen=false,2+kk,5728988,56,102303,N/A,U Plynárny,Praha 4,Michle
SREALITY2435984476,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-michle-v-doline/2435984476#img=0&fullscreen=false,2+kk,6990000,61,114590,Duna House,V Dolině,Praha 10,Michle
SREALITY3766332508,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-holesovice-mala-plynarni/3766332508#img=0&fullscreen=false,3+kk,9250000,88,105113,N/A,Malá Plynární,Praha 7,Holešovice
SREALITY2667752540,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-holesovice-mala-plynarni/2667752540#img=0&fullscreen=false,3+kk,8790000,88,99886,N/A,Malá Plynární,Praha 7,Holešovice
SREALITY20200540,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-holesovice-mala-plynarni/20200540#img=0&fullscreen=false,3+kk,8750000,83,105421,N/A,Malá Plynární,Praha 7,Holešovice
SREALITY824458332,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-mala-plynarni/824458332#img=0&fullscreen=false,2+kk,5190000,55,94363,N/A,Malá Plynární,Praha 7,Holešovice
SREALITY969342556,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-perucka/969342556#img=0&fullscreen=false,3+kk,8017000,88,91102,"PSN, s.r.o.",Perucká,Praha 2,Vinohrady
SREALITY1520479324,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-premyslovska/1520479324#img=0&fullscreen=false,3+kk,16750000,102,164215,Homeland.cz s.r.o.,Přemyslovská,Praha 3,Vinohrady
SREALITY675028060,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-/675028060#img=0&fullscreen=false,4+kk,24340578,125,194724,Homeland.cz s.r.o.,,Praha 2,Vinohrady
﻿item_no,url,dispozice,cena,metry,cena_na_metr,realitka,ulice,ctvrt,podctvrt
IDNES5fdc8725f5892c1f072e0ee3,https://reality.idnes.cz/detail/prodej/byt/praha-5-v-hurkach/5fdc8725f5892c1f072e0ee3/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 54 m²,5256847,N/A,N/A,EVROPA realitní kancelář,V hůrkách,Praha 5,Stodůlky
IDNES5f2c8f3b558f071c224dcb33,https://reality.idnes.cz/detail/prodej/byt/praha-10-vinohradska/5f2c8f3b558f071c224dcb33/?s-et=flat&s-ot=sale&s-l=VUSC-19,3+kk 97 m²,12703200,N/A,N/A,"CRESTYL real estate, s.r.o.",Vinohradská,Praha 10,Strašnice
IDNES5d08eab137ba4d47a35ebb03,https://reality.idnes.cz/detail/prodej/byt/praha-9-bryksova/5d08eab137ba4d47a35ebb03/?s-et=flat&s-ot=sale&s-l=VUSC-19,4+kk 130 m²,12269000,N/A,N/A,CANABA a. s.,Bryksova,Praha 9,Černý Most
IDNES5f6ca5040895b468c453cca3,https://reality.idnes.cz/detail/prodej/byt/praha-4-milevska/5f6ca5040895b468c453cca3/?s-et=flat&s-ot=sale&s-l=VUSC-19,4+kk 247 m²,N/A,N/A,N/A,NEXT REALITY GROUP a.s.,Milevská,Praha 4,Krč
IDNES5fb9a51ebccf3e11d5319873,https://reality.idnes.cz/detail/prodej/byt/praha-9-podebradska/5fb9a51ebccf3e11d5319873/?s-et=flat&s-ot=sale&s-l=VUSC-19,3+kk 79 m²,7104288,N/A,N/A,AdInternet s.r.o.,Poděbradská,Praha 9,Hloubětín
IDNES5f217c5837ba4d573c4b9763,https://reality.idnes.cz/detail/prodej/byt/praha-5-preslova/5f217c5837ba4d573c4b9763/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 52 m²,7088850,N/A,N/A,DUNA HOUSE,Preslova,Praha 5,Smíchov
IDNES5f04fc00558f076d1a1863e3,https://reality.idnes.cz/detail/prodej/byt/praha-6-drnovska/5f04fc00558f076d1a1863e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 54 m²,5244277,N/A,N/A,AdInternet s.r.o.,Drnovská,Praha 6,Ruzyně
IDNES5f75ad7f79550e36e24ada73,https://reality.idnes.cz/detail/prodej/byt/praha-6-za-vokovickou-vozovnou/5f75ad7f79550e36e24ada73/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+1 69 m²,4999000,N/A,N/A,HVB Real Estate s.r.o.,Za vokovickou vozovnou,Praha 6,"Veleslavín, okres Praha"
